Name,X100077_0m,X100120_0m,X100123_0m,X300112_0m,X100077_2m,X100120_2m,X100123_2m,X300112_2m,X100077_6m,X100120_6m,X100123_6m,X300112_6m
YBX2,0,0,2,0,0,0,0,0,0,0,0,0
PDK2,39,0,0,55,0,0,0,60,16,28,11,0
ITGA3,0,0,0,0,16,9,0,0,0,7,0,0
KRT33A,0,0,0,0,0,0,0,0,0,0,0,0
LRRC23,0,0,0,4,5,0,7,0,0,0,3,0
IL32,45,58,53,74,82,108,42,88,62,91,55,79
TFAP2D,0,0,0,0,0,0,0,0,0,0,0,0
SPRTN,7,0,7,0,0,0,0,7,4,15,19,0
CRY1,52,61,81,60,67,68,78,87,53,84,77,59
MAPK8IP2,3,15,16,15,4,9,15,16,7,16,15,11
PGLYRP1,28,70,64,60,18,33,75,63,13,28,58,47
STARD3NL,78,83,65,47,21,69,69,94,52,122,66,49
CAMK1G,0,0,0,0,0,0,0,0,0,0,0,0
CD9,112,114,87,109,89,112,86,78,72,106,132,69
CD74,206,328,152,274,176,240,218,342,204,227,155,261
RPS20,1561,1533,1758,1288,1562,1633,2167,1735,1470,2024,1743,1206
DYRK4,8,0,0,0,0,0,0,0,0,23,7,0
FAM76A,0,0,0,0,10,11,0,11,0,15,0,0
MGST1,0,0,0,0,0,0,0,0,0,0,0,0
CPA1,0,0,0,0,0,0,0,0,0,0,0,0
SYPL1,0,0,0,0,0,0,0,0,0,0,0,0
RANBP9,431,415,552,433,503,522,640,528,444,550,737,368
CD4,782,1270,983,1066,609,1160,946,1603,672,1351,863,937
PLEKHG6,1,11,15,6,3,7,0,7,10,14,17,7
SS18L2,29,64,50,31,38,28,45,56,42,63,42,44
VPS13D,72,0,21,36,33,0,0,0,0,0,0,37
TSPAN9,46,61,90,113,0,0,90,116,44,20,58,70
CYP4F2,1,2,2,3,2,2,0,1,1,4,4,1
QPCTL,16,26,17,15,3,15,23,16,9,34,8,26
HIVEP2,242,191,388,277,401,251,237,180,168,374,287,172
PPP5C,62,69,63,61,55,87,65,72,38,88,70,75
NME1,0,0,0,0,0,0,0,0,0,0,0,0
UBR7,131,134,143,141,97,134,181,197,104,190,154,99
MAP4K5,348,291,545,363,307,418,507,471,264,394,595,293
INMT,13,27,34,20,11,26,15,15,11,20,31,18
ERCC1,4,36,26,20,4,0,25,31,28,24,11,29
ABHD5,11,26,36,20,8,15,25,16,10,29,38,21
GPRC5A,8,15,26,11,5,13,19,9,7,21,14,10
HEBP1,86,89,52,95,115,67,48,131,64,78,38,97
DNASE1L1,19,40,30,22,20,44,28,31,48,22,55,15
COX15,68,87,71,87,75,66,97,79,50,85,81,37
MS4A12,0,0,0,0,0,0,0,0,0,0,0,0
RGPD5,0,0,162,88,0,104,0,108,0,174,208,0
XYLT2,70,79,79,87,76,56,49,89,9,45,81,9
FTSJ1,8,0,0,4,0,6,10,4,2,6,13,2
SCTR,0,0,0,0,0,0,0,0,0,0,0,0
RALBP1,0,0,12,11,0,14,0,0,0,13,0,12
PSD,0,0,0,0,0,0,0,0,0,0,0,0
SYT13,1,0,4,0,2,1,1,2,2,0,4,1
SNAI2,0,0,0,0,0,0,0,0,0,0,2,0
VDAC3,226,258,226,233,173,255,277,239,135,271,254,181
SLC7A9,0,0,0,0,0,0,0,0,0,0,0,0
GABRA1,0,0,0,0,0,0,0,0,0,0,0,0
RTF2,171,245,283,180,110,185,272,156,46,235,194,114
SLC45A4,0,10,38,28,4,32,24,28,3,13,42,8
RB1CC1,267,618,549,289,0,262,555,600,361,518,481,210
AKAP11,746,785,683,683,601,764,836,906,499,1106,857,542
STRAP,25,0,4,4,0,0,0,0,36,7,49,3
PIGQ,25,19,14,0,12,33,0,0,22,0,0,0
CDH17,0,0,2,3,0,2,0,4,0,3,0,2
RNASET2,59,201,121,51,39,129,104,49,51,171,122,30
B4GALT7,32,22,12,44,27,23,22,22,26,31,27,25
SLC39A9,242,217,236,191,131,238,287,236,133,264,211,133
FAM13B,370,381,386,380,356,351,442,392,243,561,430,239
RANBP3,29,62,0,0,19,0,49,0,39,0,4,11
CHPF2,243,337,364,343,241,306,303,388,224,408,416,243
GABARAPL2,538,829,1074,1274,737,1157,893,1565,568,1103,1182,1117
MYOC,0,0,0,0,0,0,0,0,0,0,0,0
FAM136A,58,70,72,58,61,61,80,69,71,104,90,52
NSMAF,148,217,201,208,159,236,284,184,173,266,267,187
OTC,0,0,0,0,0,0,0,0,0,0,0,0
TTC17,106,124,77,77,109,98,123,112,101,183,106,109
HOXC8,0,0,0,0,0,0,0,0,0,0,0,0
MRI1,21,19,39,9,15,35,23,30,0,27,30,16
BOD1L1,1922,3121,2868,2756,1261,2165,3284,2926,1781,3016,2920,2018
TARBP1,115,121,146,103,125,131,138,104,102,203,168,95
RIPOR1,73,37,0,43,40,50,0,0,71,60,25,0
BEST2,0,1,0,4,0,2,2,1,0,0,1,0
RTN4R,0,0,0,0,5,5,0,0,0,13,0,0
PSMA4,25,31,34,29,17,38,14,27,14,27,33,12
RIPOR3,0,0,0,0,0,0,0,0,0,0,0,0
SPATA7,0,0,0,0,0,8,11,0,0,0,0,5
ZPBP,0,0,0,0,0,0,0,0,0,0,0,0
CTNS,57,51,84,52,44,50,86,69,34,59,74,45
LCP2,283,478,429,400,243,385,416,331,279,419,389,270
GOPC,177,259,259,256,166,187,239,272,197,332,279,215
DCN,1,1,0,0,0,2,0,0,0,1,0,0
TNFRSF17,30,16,10,15,13,11,18,17,13,20,15,15
MRPS10,101,104,112,92,83,123,118,130,81,171,131,84
GRN,977,2037,1640,1524,580,1436,1622,1547,935,1273,1141,990
THAP3,13,25,20,21,20,34,15,31,14,46,25,11
VAMP3,280,515,323,297,164,297,334,356,202,383,319,213
UTS2,0,1,0,8,0,0,0,13,0,0,0,0
RCN1,33,71,29,36,20,58,43,34,20,73,26,28
RFC2,35,55,78,49,40,44,65,60,36,57,58,13
PPP1R3F,31,40,46,27,38,39,28,46,47,56,55,42
NEXMIF,0,11,0,17,0,9,16,0,0,16,0,0
ARHGEF5,27,33,29,27,32,15,5,40,40,29,22,13
NFE2L3,89,161,207,146,100,143,154,183,98,236,243,147
TNIP3,6,11,12,8,10,15,6,4,10,16,5,4
SIKE1,33,37,0,30,0,18,47,27,15,55,39,0
TLL1,0,0,0,0,0,0,0,0,0,0,0,0
CBLN4,0,0,0,0,0,0,0,0,0,0,0,0
CLDN11,0,0,0,5,0,0,0,0,0,0,0,0
FAM168A,501,908,1194,786,453,736,874,795,443,1042,1083,598
RELT,154,297,423,277,103,246,312,233,168,314,378,210
CDC27,260,400,480,342,214,399,428,442,200,489,468,341
PKP2,8,34,13,0,0,12,12,12,13,14,6,7
IL1RAP,209,357,255,240,96,164,405,309,130,130,273,100
YIPF1,37,72,49,36,26,45,77,70,33,34,37,47
ADCK2,48,58,70,53,42,66,41,100,46,71,76,46
INPP4A,439,527,451,438,407,541,496,494,354,721,523,338
SLC2A3,1514,2141,1864,1676,685,1083,2347,1753,1375,1376,1733,1017
ENPP2,0,0,8,16,8,0,0,14,0,12,13,0
CTDP1,77,31,56,47,33,33,36,68,7,34,35,28
STYK1,2,9,7,8,8,10,8,12,2,19,4,3
GNA11,10,20,15,21,15,15,17,44,12,17,20,19
CREB3L3,3,0,0,0,0,1,0,0,2,0,0,0
PIGV,23,44,23,25,25,40,38,0,24,50,28,28
HDAC7,192,315,332,284,162,324,424,336,189,313,347,194
MRPS35,58,99,80,75,73,87,133,82,67,104,114,53
BTN3A1,51,187,136,46,89,64,62,65,31,52,0,61
APPBP2,220,268,254,206,153,215,220,241,138,310,256,123
RPL18,951,637,760,797,908,916,1062,888,847,963,997,631
CA11,8,21,24,20,17,22,21,27,12,29,36,10
ISOC2,4,18,12,2,0,12,0,12,0,5,0,0
EPN1,143,184,161,275,127,227,175,273,139,198,174,146
CD22,107,62,314,174,222,73,354,352,120,189,358,148
GSC2,0,0,0,0,0,0,0,0,0,0,0,0
ZFY,0,91,0,117,0,15,0,57,64,65,0,74
HDHD5,0,0,0,5,0,0,0,0,0,0,0,0
KCNQ1,91,189,177,169,84,170,181,192,124,169,169,123
TRPM5,0,0,4,0,0,0,0,0,0,0,3,0
TRIB2,223,255,296,244,263,251,290,280,247,427,537,197
OTUD5,0,0,14,0,0,0,0,13,6,0,0,0
GPKOW,77,94,88,93,64,94,81,131,79,112,96,70
AQR,231,320,304,230,158,265,285,285,192,358,323,162
KLK13,0,0,0,0,0,0,0,0,0,0,0,0
KLK14,0,0,0,1,0,0,0,0,0,0,0,0
ST6GALNAC1,0,0,0,8,3,4,0,15,4,0,0,0
MBD3,7,33,47,36,14,24,21,28,21,41,28,40
LMCD1,3,6,4,6,3,10,6,8,3,5,13,7
PSMC4,133,105,86,143,0,109,117,170,123,131,134,77
FNDC8,0,0,0,1,0,0,0,0,0,0,1,0
CAMKK1,1,2,7,9,0,5,7,0,4,4,3,2
FAM50A,4,4,11,12,5,11,2,6,2,8,11,11
ACAP1,484,487,724,591,477,485,622,728,399,613,819,394
DERL2,88,118,128,71,67,83,90,120,105,175,126,87
NOX3,0,0,0,0,0,0,0,0,0,0,0,0
ANO8,31,55,22,55,14,43,42,57,30,80,82,46
KDM4B,443,568,494,560,255,507,726,653,297,799,661,409
PANX2,0,0,0,0,0,0,0,0,0,0,0,0
ICAM3,1216,1836,1588,1585,596,1335,2063,1653,763,1812,1576,813
CAMSAP3,0,1,0,0,0,0,2,0,0,0,0,0
CTTNBP2,0,0,0,8,9,0,0,0,0,0,0,9
ACTL6B,0,0,0,0,0,1,0,0,2,0,0,0
FAM135B,0,0,0,0,0,0,0,0,0,0,0,0
CIC,82,88,97,51,89,75,74,118,62,107,173,73
KIF22,67,69,91,92,59,81,59,96,58,145,111,90
PRSS22,0,0,0,0,0,0,0,0,0,0,0,0
CEACAM1,94,127,31,56,32,55,66,47,40,59,0,43
YTHDC2,203,242,282,189,191,212,225,274,184,373,304,168
TMEM161A,15,0,0,19,0,0,0,0,29,0,0,15
BCAR1,0,0,0,0,0,0,0,0,0,0,0,0
FOXJ2,220,263,296,284,216,287,313,357,226,318,344,234
TNFRSF1A,636,1386,1144,1056,379,807,1271,1024,639,1002,805,640
GOLGA5,153,184,188,164,137,162,218,183,138,223,235,148
METTL22,14,28,29,8,18,42,27,31,17,34,31,30
CELSR3,26,33,12,15,32,18,22,18,25,37,18,12
PPP2R5B,92,106,128,169,219,190,110,205,95,163,183,134
PYGM,19,44,60,32,29,39,59,37,41,45,79,36
BCL3,144,182,171,146,75,96,166,107,107,122,123,78
KCNAB2,9,58,129,91,68,185,47,27,61,41,108,76
PIGB,35,75,29,31,0,66,72,0,15,29,55,26
PDZD4,30,22,0,0,0,0,15,37,0,8,0,0
NPIPB4,0,0,0,0,0,1,0,6,2,0,0,2
PRLH,0,0,0,0,0,0,0,0,0,0,0,0
REEP1,1,0,10,0,7,8,6,0,5,8,8,4
FSTL3,0,22,8,17,4,3,9,26,17,23,9,8
EPHA8,0,0,0,0,0,0,0,0,0,1,0,0
TRIP13,2,3,5,4,3,4,2,6,0,3,3,1
P4HA2,0,0,0,0,0,0,0,0,0,0,0,0
VASH1,123,78,107,124,136,130,61,174,109,122,91,120
PDCD2,9,19,7,9,0,18,10,6,10,0,17,0
LLGL2,35,34,0,29,35,23,0,45,32,33,30,29
KRT14,0,0,0,0,0,0,0,0,0,0,0,0
ARHGEF10L,0,4,0,0,0,0,0,0,0,0,0,0
SPP2,0,0,0,1,0,0,0,0,0,0,1,0
HSD17B10,69,71,96,77,44,90,78,119,66,99,85,74
FGF4,0,1,0,0,0,0,0,1,0,0,0,0
RGS11,0,0,0,0,0,0,0,0,0,0,0,0
NMRK2,0,0,0,0,0,0,0,0,0,0,0,0
MASP1,0,0,0,0,0,0,0,0,0,0,1,0
ST6GAL1,496,580,590,714,372,672,750,869,371,1088,866,563
TIMM21,12,24,19,13,17,15,12,18,16,20,26,11
BPIFB2,0,0,0,0,0,0,0,0,0,0,0,0
REXO1,175,156,172,234,144,187,165,236,158,237,257,158
MKRN2,103,166,164,138,109,182,217,150,118,212,209,131
GPATCH1,58,72,71,71,48,87,87,99,46,98,83,48
IL4R,0,312,377,236,0,0,260,335,0,0,623,0
KEAP1,32,64,45,46,12,27,86,66,38,67,46,27
P2RY10,80,82,121,95,108,72,172,179,79,179,208,80
TNS1,326,462,933,1387,1166,1425,511,1778,288,979,644,993
NGFR,1,1,6,2,1,1,3,0,0,2,0,4
NEB,0,0,0,0,0,0,0,0,0,0,0,0
NTN1,2,10,14,14,6,8,5,11,2,17,16,10
ISOC1,55,62,58,48,36,36,74,69,41,75,65,53
KLF6,0,0,5,12,0,21,0,0,0,12,0,0
TRO,0,0,0,0,4,3,0,0,4,0,0,0
MNT,186,171,194,204,142,190,176,202,136,224,190,174
AP3M2,20,0,0,33,0,20,29,49,0,0,14,0
LAPTM4A,274,400,367,311,163,288,406,359,242,411,345,239
ADAM7,0,0,0,0,0,0,0,0,0,0,0,0
ASNS,6,3,26,5,0,0,6,17,0,10,0,3
PTPN18,279,459,471,465,312,440,420,572,318,476,440,305
DRD4,1,1,5,0,1,1,1,2,2,1,0,0
SCT,2,2,3,3,1,3,1,2,2,0,1,0
ALDH3A2,41,0,14,35,0,0,69,13,0,26,0,0
STK10,1919,2404,2520,2505,1419,2175,2567,2573,1591,2779,2436,1785
ALPK1,0,0,0,0,0,0,0,0,0,0,0,0
TBX21,304,269,261,407,278,376,249,451,213,466,235,236
MRPS34,3,4,11,0,4,10,9,4,10,0,0,13
CA12,1,3,0,1,0,3,3,2,3,3,4,3
MAP2K5,20,46,64,47,55,45,31,67,46,48,72,37
TIGAR,39,35,29,33,20,24,68,43,21,31,32,24
FGF20,0,0,0,0,0,0,1,0,0,0,0,0
MTMR7,10,22,17,20,28,16,16,12,12,22,20,11
CPB2,0,0,0,0,0,0,0,0,0,0,0,0
FAM107B,0,10,10,10,0,17,4,0,0,27,0,4
CDK13,142,193,155,192,121,229,181,213,100,331,192,203
TSPAN32,0,0,0,0,0,0,0,0,0,0,0,0
FAR2,22,49,31,13,31,42,22,0,20,53,30,13
TRAM2,173,204,204,152,125,179,185,205,106,253,217,136
CLDN18,0,0,0,0,0,0,0,0,0,0,0,0
ROPN1,1,7,3,2,0,2,4,4,0,13,4,0
NDUFB4,51,61,50,50,57,58,62,44,61,74,70,51
HEATR6,78,77,77,57,63,111,85,78,37,154,119,12
ERLEC1,62,137,116,130,56,91,105,133,77,155,123,94
CLIC5,16,14,3,13,16,22,23,18,5,9,16,11
TMEM131,470,759,643,461,372,535,637,602,367,755,707,450
ARPP21,0,0,0,0,0,0,0,0,0,0,2,2
CEACAM21,0,0,0,0,0,0,19,2,0,0,0,11
TMEM38A,16,11,19,22,10,15,10,22,8,11,15,5
PVR,0,0,0,24,0,0,0,0,0,0,0,0
ZNF222,0,6,7,0,0,0,8,0,17,0,6,18
PSG6,0,0,0,0,0,0,0,0,0,0,0,0
ACTR6,15,15,10,12,10,9,17,35,15,2,20,3
SLC25A3,24,33,4,7,4,9,26,20,0,31,37,22
NR1H4,0,0,0,0,0,0,0,0,0,0,0,0
FAP,0,0,1,0,0,0,0,0,0,0,0,0
NFKB2,139,199,199,227,97,132,224,154,175,215,191,186
MUSK,0,0,0,0,0,1,0,0,0,1,0,0
DMRT3,0,0,0,0,0,0,0,0,0,0,0,0
OSBPL6,3,8,8,6,6,4,13,0,0,17,14,9
CCN5,0,0,0,0,0,0,0,0,0,0,0,0
CTSA,235,122,192,200,39,80,97,201,46,115,100,123
ANKRD16,0,0,0,2,0,0,0,7,4,14,0,0
GAL3ST2,0,0,0,0,0,0,1,0,0,0,0,0
UHRF1BP1,140,195,201,209,132,216,226,291,125,227,207,147
OSTM1,250,453,323,300,167,275,451,409,217,445,394,227
IMPG2,9,30,27,14,9,12,21,15,14,25,23,9
ACTN1,1195,2316,2204,2057,884,1364,2584,1958,865,1482,1983,1160
NAIP,0,0,0,0,0,0,0,8,0,0,0,0
DELE1,34,88,47,69,27,46,0,98,21,117,38,48
SLC13A1,1,7,1,1,0,0,0,0,1,2,1,0
PCDHB4,0,0,0,0,0,0,0,0,0,0,0,0
PCDHB2,0,1,3,1,0,0,2,2,0,4,0,3
HSPB11,16,39,6,18,8,10,22,24,5,19,10,10
STRADB,1427,1970,4645,3004,4269,4332,3248,4055,2531,3481,4993,2563
FAM135A,0,0,0,0,13,9,0,27,0,24,0,0
DLG3,0,0,0,0,0,0,0,2,0,0,0,0
SEMA5B,0,0,0,0,0,0,0,0,0,0,2,0
SNAP91,0,0,0,0,0,0,0,0,0,0,0,0
PLOD1,101,216,150,183,88,181,130,196,75,191,115,105
TDRD3,13,15,0,0,18,4,0,0,30,5,23,0
OXCT1,122,89,146,103,106,95,122,120,86,168,165,92
ZNF324,34,51,16,38,38,34,60,62,43,68,54,23
ZNF416,23,16,39,25,24,28,37,34,24,38,49,19
RPS5,686,669,698,706,703,672,977,899,612,989,912,734
FAM234B,24,38,41,28,27,29,36,48,21,66,46,25
PILRA,259,589,440,370,135,318,477,336,236,491,362,232
MOGAT2,0,0,0,0,0,0,0,0,0,0,0,0
CHERP,26,24,62,49,10,14,28,33,0,48,42,54
AQP2,0,0,0,0,0,0,0,0,0,0,0,0
DIMT1,267,236,290,272,218,210,336,370,188,308,279,233
EIF2AK1,958,1485,3040,2410,2276,2394,2151,2945,1292,2017,2489,1855
NME8,22,41,4,31,7,27,36,26,19,4,17,17
EPDR1,6,3,8,0,6,5,10,0,5,7,2,3
MRPL28,54,77,50,61,62,71,59,84,74,55,85,47
HBQ1,42,10,41,41,81,54,53,72,71,58,73,47
CEACAM6,29,36,12,13,39,23,13,13,10,13,9,4
RBM22,191,229,204,192,148,190,248,221,186,306,175,125
HSD17B2,0,0,0,0,0,0,0,0,0,0,0,0
MAP2,0,0,0,3,0,0,0,3,0,3,1,0
ZW10,62,73,59,19,54,68,32,75,63,86,91,52
ITGB4,0,0,0,0,0,0,0,0,0,0,14,0
PPP1R15A,286,418,379,386,185,359,476,400,287,403,397,296
TRIP6,16,27,26,14,14,16,24,17,5,24,31,12
ADAM11,0,0,5,0,0,1,0,0,0,0,0,0
LAMP2,289,647,465,342,122,371,592,326,221,419,342,247
SLC22A4,69,176,262,151,70,85,230,164,92,125,246,118
CETP,0,0,0,0,0,0,24,18,17,0,28,0
MT3,0,0,0,0,0,0,0,1,0,0,0,0
PTHLH,0,0,0,0,0,0,0,0,0,0,0,0
TFAP2C,2,0,1,0,0,0,0,1,0,1,0,1
SULT2B1,0,0,0,1,0,0,0,0,0,2,3,1
EPS8L1,0,0,0,0,0,0,0,0,0,0,0,0
CACNB4,0,0,0,0,0,0,0,0,0,0,0,0
NOL4L,14,18,4,2,7,19,6,12,10,22,5,12
DNMT3B,0,0,4,0,0,0,0,0,0,0,0,0
REM1,0,0,0,0,0,0,0,0,0,0,0,0
PDRG1,28,42,44,34,22,36,37,33,29,56,47,34
EPB41L1,0,0,0,0,0,0,0,0,0,0,0,0
PPP1R13B,0,0,9,14,0,18,0,0,12,24,0,10
TGM6,0,0,0,0,0,0,0,0,0,0,0,0
RALGAPA2,242,590,543,341,261,455,455,466,266,438,533,312
RPL6,2153,2428,2397,2094,2090,2361,2734,2772,1923,3138,2565,1863
ESF1,73,99,69,63,73,50,62,111,94,102,98,81
SLC8B1,0,0,0,0,0,0,0,0,0,0,0,0
TMEM230,122,217,130,147,99,160,157,153,98,204,151,101
OAS1,147,634,317,45,123,217,363,82,313,249,258,56
SIRT4,1,0,3,5,3,7,7,2,5,4,8,2
TRMT6,47,56,62,43,46,59,50,59,34,63,54,54
HAUS5,24,16,30,0,0,19,0,24,27,57,38,46
UQCRC1,123,207,165,109,68,157,159,301,119,204,152,172
GMIP,760,1291,1550,1216,528,1021,1306,1129,597,1336,1602,892
LAG3,15,11,0,19,14,13,9,6,24,17,14,14
MLF2,143,198,190,168,78,179,122,203,97,197,161,174
OTUB2,10,10,23,12,17,0,0,28,16,21,0,0
LTBP4,0,21,22,0,0,0,0,0,32,54,0,36
TFAP4,32,22,19,23,26,25,41,36,29,28,22,35
PDCD7,97,112,149,122,77,93,129,144,84,175,151,104
SPG21,143,274,190,209,137,283,230,243,143,194,210,165
CHRD,0,0,0,0,0,0,0,0,0,0,0,0
FLT3LG,23,42,16,18,58,23,28,38,24,49,40,12
GNPTG,97,136,115,111,86,97,101,136,111,144,152,98
GOLGA3,0,132,0,0,0,313,0,219,0,0,240,201
CD209,0,0,0,0,0,0,0,0,0,0,0,0
EFNB1,25,51,63,39,22,55,52,46,33,54,58,47
GLG1,661,668,730,681,566,702,752,766,567,740,755,466
PLEKHG2,0,0,0,0,0,23,0,0,0,0,20,0
DLL3,0,0,0,0,0,0,0,0,0,0,0,0
NAT14,16,7,16,4,4,8,8,13,9,7,7,5
AASDH,38,40,0,0,0,50,45,0,17,59,35,22
LAMB4,0,0,0,0,0,0,0,0,0,0,0,0
DLD,74,85,88,61,78,106,117,77,47,144,62,63
ABCC6,0,25,23,0,7,0,3,11,0,28,0,5
CMTM6,1556,2519,1999,1713,712,1704,2725,1815,975,2295,1972,1146
APOH,0,0,0,0,0,0,0,0,0,0,0,0
SPAG7,66,68,82,65,44,61,83,73,51,81,73,43
ESR1,0,0,0,0,0,0,0,0,0,0,0,0
RGS17,0,0,0,0,1,0,0,1,0,0,0,0
TMEM101,55,63,48,62,53,46,67,49,48,73,56,25
CCDC80,93,161,167,107,84,123,141,106,88,182,173,96
CMA1,0,0,0,1,0,1,0,0,1,0,0,0
PSME1,577,961,576,588,477,567,863,619,420,594,544,389
HAUS4,23,34,71,11,28,21,28,27,0,0,64,55
CEBPE,59,42,27,22,46,50,27,36,20,52,38,14
OSGEP,35,56,33,52,38,41,39,48,22,28,26,34
SLC22A17,0,0,0,0,3,4,0,0,0,0,0,0
G2E3,80,40,65,46,37,91,73,67,47,97,54,61
TGM1,0,7,4,9,6,8,7,11,6,7,19,6
TBX15,0,0,0,0,0,0,0,0,0,0,0,0
TEKT2,0,0,0,1,0,0,1,0,0,0,0,0
UNC13D,605,842,896,787,503,690,774,821,612,831,993,520
COMT,0,0,6,0,7,3,2,10,3,2,7,7
XYLB,0,0,0,5,11,8,0,0,5,7,2,0
OR1I1,0,0,0,0,0,0,0,0,0,0,0,0
ADH7,0,0,0,0,0,0,0,0,0,0,0,0
ADH1A,1,0,0,0,0,1,0,0,0,1,0,0
CDC6,0,5,7,5,7,2,2,10,5,15,8,4
AAAS,36,46,56,54,46,47,50,65,40,62,67,35
CBX5,803,805,849,668,665,749,739,840,518,1026,811,487
KLHL20,85,86,100,91,74,109,86,103,68,125,103,66
FMO2,0,0,0,0,0,0,0,0,1,0,0,0
DHPS,72,74,53,67,44,82,53,50,23,26,35,68
RAB26,0,2,5,0,2,3,1,0,3,0,9,0
PTBP3,7,0,0,13,0,18,12,2,0,35,25,6
PSMD5,127,156,174,140,89,165,145,147,78,183,159,80
NANS,56,93,53,52,31,70,71,76,46,51,54,45
SEMA4G,13,13,24,23,15,24,14,13,14,14,22,8
TPSD1,0,0,0,0,0,0,0,0,0,0,1,0
GSTA3,0,0,0,0,0,0,0,0,0,0,0,0
MAPK13,71,85,175,104,72,79,103,98,62,78,132,82
TMEM14A,5,12,10,10,19,14,10,13,9,19,17,3
GPANK1,0,0,0,0,0,0,0,0,0,0,0,0
BAG6,0,0,0,0,0,0,0,200,0,0,0,0
LST1,0,12,0,2,2,7,0,0,2,0,6,4
ZNF184,60,73,62,93,51,87,73,83,57,132,80,52
VCL,1683,2017,2463,2801,1231,1391,2098,2677,1029,1237,1749,1345
SIRT1,139,99,92,144,53,71,132,133,66,140,140,65
TGFBR3,376,285,224,344,248,269,275,397,190,437,203,220
TMED1,35,42,31,66,21,28,37,58,34,66,34,30
ERMP1,0,48,26,29,12,7,69,27,20,0,116,33
MZF1,7,8,11,10,11,0,24,0,31,0,28,33
OCEL1,13,0,0,0,4,16,9,35,11,22,30,12
PSMD8,0,0,0,0,0,0,4,0,0,0,0,0
STX1B,14,7,12,9,8,15,10,14,6,7,12,5
BCL7C,49,55,36,45,52,78,44,59,25,82,61,35
EFNA2,0,0,0,0,0,0,0,0,0,0,0,0
ATP5F1D,27,6,12,29,28,0,14,42,29,20,20,9
CBARP,0,0,0,0,1,0,0,0,0,0,0,0
PCDH11Y,0,0,0,0,0,0,0,0,0,0,0,0
AMELY,0,0,0,0,0,0,0,0,0,0,0,0
FGF22,0,0,0,0,0,0,0,4,1,0,0,0
SMIM24,3,0,5,2,2,7,2,0,7,7,6,1
IGFALS,0,8,3,12,3,4,1,6,2,8,0,0
MARCHF2,162,115,230,252,233,162,154,301,112,171,148,123
NDUFB7,49,56,64,72,52,59,67,83,58,87,65,61
TECR,92,78,103,105,83,97,87,143,73,155,119,74
TIMM13,32,57,57,49,60,81,34,66,42,85,52,43
